sample_id,split,parquet_file,row_group,row_in_row_group,row_in_split,audio_path,label,label_idx
train:00000005,train,train-00000-of-00024.parquet,0,5,5,XC135460.wav,aldfly,0
train:00000010,train,train-00000-of-00024.parquet,0,10,10,XC142068.wav,aldfly,0
train:00000012,train,train-00000-of-00024.parquet,0,12,12,XC144672.wav,aldfly,0
train:00000015,train,train-00000-of-00024.parquet,0,15,15,XC167789.wav,aldfly,0
train:00000022,train,train-00000-of-00024.parquet,0,22,22,XC188377.wav,aldfly,0
train:00000024,train,train-00000-of-00024.parquet,0,24,24,XC188434.wav,aldfly,0
train:00000025,train,train-00000-of-00024.parquet,0,25,25,XC188813.wav,aldfly,0
train:00000030,train,train-00000-of-00024.parquet,0,30,30,XC189262.wav,aldfly,0
train:00000032,train,train-00000-of-00024.parquet,0,32,32,XC189264.wav,aldfly,0
train:00000039,train,train-00000-of-00024.parquet,0,39,39,XC189590.wav,aldfly,0
train:00000046,train,train-00000-of-00024.parquet,0,46,46,XC244459.wav,aldfly,0
train:00000051,train,train-00000-of-00024.parquet,0,51,51,XC302253.wav,aldfly,0
train:00000056,train,train-00000-of-00024.parquet,0,56,56,XC370881.wav,aldfly,0
train:00000060,train,train-00000-of-00024.parquet,0,60,60,XC374638.wav,aldfly,0
train:00000061,train,train-00000-of-00024.parquet,0,61,61,XC380033.wav,aldfly,0
train:00000062,train,train-00000-of-00024.parquet,0,62,62,XC381871.wav,aldfly,0
train:00000063,train,train-00000-of-00024.parquet,0,63,63,XC406251.wav,aldfly,0
train:00000065,train,train-00000-of-00024.parquet,0,65,65,XC418144.wav,aldfly,0
train:00000070,train,train-00000-of-00024.parquet,0,70,70,XC139829.wav,ameavo,1
train:00000072,train,train-00000-of-00024.parquet,0,72,72,XC166076.wav,ameavo,1
train:00000073,train,train-00000-of-00024.parquet,0,73,73,XC178760.wav,ameavo,1
train:00000083,train,train-00000-of-00024.parquet,0,83,83,XC304674.wav,ameavo,1
train:00000084,train,train-00000-of-00024.parquet,0,84,84,XC304676.wav,ameavo,1
train:00000086,train,train-00000-of-00024.parquet,0,86,86,XC304679.wav,ameavo,1
train:00000094,train,train-00000-of-00024.parquet,0,94,94,XC324577.wav,ameavo,1
train:00000099,train,train-00000-of-00024.parquet,0,99,99,XC494032.wav,ameavo,1
train:00000101,train,train-00000-of-00024.parquet,1,1,101,XC141316.wav,amebit,2
train:00000102,train,train-00000-of-00024.parquet,1,2,102,XC141320.wav,amebit,2
train:00000113,train,train-00000-of-00024.parquet,1,13,113,XC315463.wav,amebit,2
train:00000115,train,train-00000-of-00024.parquet,1,15,115,XC315750.wav,amebit,2
train:00000116,train,train-00000-of-00024.parquet,1,16,116,XC320057.wav,amebit,2
train:00000124,train,train-00000-of-00024.parquet,1,24,124,XC417864.wav,amebit,2
train:00000125,train,train-00000-of-00024.parquet,1,25,125,XC419704.wav,amebit,2
train:00000132,train,train-00000-of-00024.parquet,1,32,132,XC172881.wav,amecro,3
train:00000134,train,train-00000-of-00024.parquet,1,34,134,XC181497.wav,amecro,3
train:00000138,train,train-00000-of-00024.parquet,1,38,138,XC193111.wav,amecro,3
train:00000147,train,train-00000-of-00024.parquet,1,47,147,XC293812.wav,amecro,3
train:00000150,train,train-00000-of-00024.parquet,1,50,150,XC314874.wav,amecro,3
train:00000152,train,train-00000-of-00024.parquet,1,52,152,XC316302.wav,amecro,3
train:00000157,train,train-00000-of-00024.parquet,1,57,157,XC328542.wav,amecro,3
train:00000161,train,train-00000-of-00024.parquet,1,61,161,XC381507.wav,amecro,3
train:00000166,train,train-00000-of-00024.parquet,1,66,166,XC456644.wav,amecro,3
train:00000169,train,train-00000-of-00024.parquet,1,69,169,XC480052.wav,amecro,3
train:00000171,train,train-00000-of-00024.parquet,1,71,171,XC481933.wav,amecro,3
train:00000172,train,train-00000-of-00024.parquet,1,72,172,XC51410.wav,amecro,3
train:00000179,train,train-00000-of-00024.parquet,1,79,179,XC169083.wav,amegfi,4
train:00000180,train,train-00000-of-00024.parquet,1,80,180,XC169084.wav,amegfi,4
train:00000187,train,train-00000-of-00024.parquet,1,87,187,XC210744.wav,amegfi,4
train:00000188,train,train-00000-of-00024.parquet,1,88,188,XC210746.wav,amegfi,4
train:00000190,train,train-00000-of-00024.parquet,1,90,190,XC217005.wav,amegfi,4
train:00000191,train,train-00000-of-00024.parquet,1,91,191,XC236563.wav,amegfi,4
train:00000193,train,train-00000-of-00024.parquet,1,93,193,XC276993.wav,amegfi,4
train:00000199,train,train-00000-of-00024.parquet,1,99,199,XC315299.wav,amegfi,4
train:00000212,train,train-00000-of-00024.parquet,2,12,212,XC383960.wav,amegfi,4
train:00000215,train,train-00000-of-00024.parquet,2,15,215,XC394110.wav,amegfi,4
train:00000216,train,train-00000-of-00024.parquet,2,16,216,XC420842.wav,amegfi,4
train:00000219,train,train-00000-of-00024.parquet,2,19,219,XC476270.wav,amegfi,4
train:00000232,train,train-00000-of-00024.parquet,2,32,232,XC257401.wav,amekes,5
train:00000243,train,train-00000-of-00024.parquet,2,43,243,XC391843.wav,amekes,5
train:00000245,train,train-00000-of-00024.parquet,2,45,245,XC418510.wav,amekes,5
train:00000250,train,train-00000-of-00024.parquet,2,50,250,XC420473.wav,amekes,5
train:00000253,train,train-00000-of-00024.parquet,2,53,253,XC443522.wav,amekes,5
train:00000254,train,train-00000-of-00024.parquet,2,54,254,XC443812.wav,amekes,5
train:00000257,train,train-00000-of-00024.parquet,2,57,257,XC451253.wav,amekes,5
train:00000258,train,train-00000-of-00024.parquet,2,58,258,XC452613.wav,amekes,5
train:00000259,train,train-00000-of-00024.parquet,2,59,259,XC454402.wav,amekes,5
train:00000260,train,train-00000-of-00024.parquet,2,60,260,XC466164.wav,amekes,5
train:00000265,train,train-00000-of-00024.parquet,2,65,265,XC56416.wav,amekes,5
train:00000269,train,train-00000-of-00024.parquet,2,69,269,XC113724.wav,amepip,6
train:00000273,train,train-00000-of-00024.parquet,2,73,273,XC153410.wav,amepip,6
train:00000279,train,train-00000-of-00024.parquet,2,79,279,XC210758.wav,amepip,6
train:00000280,train,train-00000-of-00024.parquet,2,80,280,XC210759.wav,amepip,6
train:00000283,train,train-00000-of-00024.parquet,2,83,283,XC267501.wav,amepip,6
train:00000284,train,train-00000-of-00024.parquet,2,84,284,XC267502.wav,amepip,6
train:00000288,train,train-00000-of-00024.parquet,2,88,288,XC277511.wav,amepip,6
