sample_id,split,parquet_file,row_group,row_in_row_group,row_in_split,audio_path,label,label_idx
train:00000005,train,train-00000-of-00024.parquet,0,5,5,XC135460.wav,aldfly,0
train:00000009,train,train-00000-of-00024.parquet,0,9,9,XC142067.wav,aldfly,0
train:00000010,train,train-00000-of-00024.parquet,0,10,10,XC142068.wav,aldfly,0
train:00000012,train,train-00000-of-00024.parquet,0,12,12,XC144672.wav,aldfly,0
train:00000015,train,train-00000-of-00024.parquet,0,15,15,XC167789.wav,aldfly,0
train:00000016,train,train-00000-of-00024.parquet,0,16,16,XC167791.wav,aldfly,0
train:00000019,train,train-00000-of-00024.parquet,0,19,19,XC178485.wav,aldfly,0
train:00000021,train,train-00000-of-00024.parquet,0,21,21,XC181484.wav,aldfly,0
train:00000022,train,train-00000-of-00024.parquet,0,22,22,XC188377.wav,aldfly,0
train:00000024,train,train-00000-of-00024.parquet,0,24,24,XC188434.wav,aldfly,0
train:00000025,train,train-00000-of-00024.parquet,0,25,25,XC188813.wav,aldfly,0
train:00000026,train,train-00000-of-00024.parquet,0,26,26,XC189042.wav,aldfly,0
train:00000030,train,train-00000-of-00024.parquet,0,30,30,XC189262.wav,aldfly,0
train:00000032,train,train-00000-of-00024.parquet,0,32,32,XC189264.wav,aldfly,0
train:00000033,train,train-00000-of-00024.parquet,0,33,33,XC189265.wav,aldfly,0
train:00000034,train,train-00000-of-00024.parquet,0,34,34,XC189266.wav,aldfly,0
train:00000035,train,train-00000-of-00024.parquet,0,35,35,XC189267.wav,aldfly,0
train:00000038,train,train-00000-of-00024.parquet,0,38,38,XC189589.wav,aldfly,0
train:00000039,train,train-00000-of-00024.parquet,0,39,39,XC189590.wav,aldfly,0
train:00000041,train,train-00000-of-00024.parquet,0,41,41,XC193116.wav,aldfly,0
train:00000042,train,train-00000-of-00024.parquet,0,42,42,XC195541.wav,aldfly,0
train:00000046,train,train-00000-of-00024.parquet,0,46,46,XC244459.wav,aldfly,0
train:00000047,train,train-00000-of-00024.parquet,0,47,47,XC2628.wav,aldfly,0
train:00000049,train,train-00000-of-00024.parquet,0,49,49,XC269063.wav,aldfly,0
train:00000051,train,train-00000-of-00024.parquet,0,51,51,XC302253.wav,aldfly,0
train:00000053,train,train-00000-of-00024.parquet,0,53,53,XC318899.wav,aldfly,0
train:00000056,train,train-00000-of-00024.parquet,0,56,56,XC370881.wav,aldfly,0
train:00000059,train,train-00000-of-00024.parquet,0,59,59,XC374636.wav,aldfly,0
train:00000060,train,train-00000-of-00024.parquet,0,60,60,XC374638.wav,aldfly,0
train:00000061,train,train-00000-of-00024.parquet,0,61,61,XC380033.wav,aldfly,0
train:00000062,train,train-00000-of-00024.parquet,0,62,62,XC381871.wav,aldfly,0
train:00000063,train,train-00000-of-00024.parquet,0,63,63,XC406251.wav,aldfly,0
