sample_id,split,parquet_file,row_group,row_in_row_group,row_in_split,audio_path,label,label_idx
train:00000010,train,train-00000-of-00024.parquet,0,10,10,XC142068.wav,aldfly,0
train:00000022,train,train-00000-of-00024.parquet,0,22,22,XC188377.wav,aldfly,0
train:00000039,train,train-00000-of-00024.parquet,0,39,39,XC189590.wav,aldfly,0
train:00000056,train,train-00000-of-00024.parquet,0,56,56,XC370881.wav,aldfly,0
train:00000060,train,train-00000-of-00024.parquet,0,60,60,XC374638.wav,aldfly,0
train:00000063,train,train-00000-of-00024.parquet,0,63,63,XC406251.wav,aldfly,0
train:00000065,train,train-00000-of-00024.parquet,0,65,65,XC418144.wav,aldfly,0
train:00000072,train,train-00000-of-00024.parquet,0,72,72,XC166076.wav,ameavo,1
train:00000083,train,train-00000-of-00024.parquet,0,83,83,XC304674.wav,ameavo,1
train:00000086,train,train-00000-of-00024.parquet,0,86,86,XC304679.wav,ameavo,1
train:00000115,train,train-00000-of-00024.parquet,1,15,115,XC315750.wav,amebit,2
train:00000124,train,train-00000-of-00024.parquet,1,24,124,XC417864.wav,amebit,2
train:00000125,train,train-00000-of-00024.parquet,1,25,125,XC419704.wav,amebit,2
train:00000150,train,train-00000-of-00024.parquet,1,50,150,XC314874.wav,amecro,3
train:00000152,train,train-00000-of-00024.parquet,1,52,152,XC316302.wav,amecro,3
train:00000161,train,train-00000-of-00024.parquet,1,61,161,XC381507.wav,amecro,3
train:00000169,train,train-00000-of-00024.parquet,1,69,169,XC480052.wav,amecro,3
train:00000171,train,train-00000-of-00024.parquet,1,71,171,XC481933.wav,amecro,3
train:00000179,train,train-00000-of-00024.parquet,1,79,179,XC169083.wav,amegfi,4
train:00000187,train,train-00000-of-00024.parquet,1,87,187,XC210744.wav,amegfi,4
train:00000188,train,train-00000-of-00024.parquet,1,88,188,XC210746.wav,amegfi,4
train:00000199,train,train-00000-of-00024.parquet,1,99,199,XC315299.wav,amegfi,4
train:00000216,train,train-00000-of-00024.parquet,2,16,216,XC420842.wav,amegfi,4
train:00000232,train,train-00000-of-00024.parquet,2,32,232,XC257401.wav,amekes,5
train:00000257,train,train-00000-of-00024.parquet,2,57,257,XC451253.wav,amekes,5
train:00000258,train,train-00000-of-00024.parquet,2,58,258,XC452613.wav,amekes,5
train:00000265,train,train-00000-of-00024.parquet,2,65,265,XC56416.wav,amekes,5
train:00000269,train,train-00000-of-00024.parquet,2,69,269,XC113724.wav,amepip,6
train:00000302,train,train-00000-of-00024.parquet,3,2,302,XC277605.wav,amepip,6
